Código do Município (IBGE);Município;Ano;População Total Urbana;Volume de esgoto produzido - 1000 m³;Volume de esgotos coletado - 1000 m³;Volume de esgotos tratado - 1000 m³
5200050.0;Abadia de Goiás;1992;0;0.0;0.0;0.0
5200100.0;Abadiânia;1992;8526;404.56;0.0;0.0
5200134.0;Acreúna;1992;13111;622.12;0.0;0.0
5200159.0;Adelândia;1992;2110;100.12;0.0;0.0
5200175.0;Água Fria de Goiás;1992;3601;170.87;0.0;0.0
5200209.0;Água Limpa;1992;1733;82.23;0.0;0.0
5200258.0;Águas Lindas de Goiás;1992;0;0.0;0.0;0.0
5200308.0;Alexânia;1992;15416;731.49;0.0;0.0
5200506.0;Aloândia;1992;1785;84.7;0.0;0.0
5200555.0;Alto Horizonte;1992;1935;91.82;0.0;0.0
5200605.0;Alto Paraíso de Goiás;1992;3820;181.26;0.0;0.0
5200803.0;Alvorada do Norte;1992;6732;319.43;0.0;0.0
5200829.0;Amaralina;1992;0;0.0;0.0;0.0
5200852.0;Americano do Brasil;1992;4370;207.36;0.0;0.0
5200902.0;Amorinópolis;1992;3923;186.15;0.0;0.0
5201108.0;Anápolis;1992;220972;10485.12;0.0;0.0
5201207.0;Anhanguera;1992;793;37.63;0.0;0.0
5201306.0;Anicuns;1992;16472;781.6;0.0;0.0
5201405.0;Aparecida de Goiânia;1992;172821;8200.36;0.0;0.0
5201454.0;Aparecida do Rio Doce;1992;1722;81.71;0.0;0.0
5201504.0;Aporé;1992;3071;145.72;0.0;0.0
5201603.0;Araçu;1992;3321;157.58;0.0;0.0
5201702.0;Aragarças;1992;12803;607.5;0.0;0.0
5201801.0;Aragoiânia;1992;4555;216.13;0.0;0.0
5202155.0;Araguapaz;1992;6744;320.0;0.0;0.0
5202353.0;Arenópolis;1992;3672;174.24;0.0;0.0
5202502.0;Aruanã;1992;4547;215.76;0.0;0.0
5202601.0;Aurilândia;1992;3780;179.36;0.0;0.0
5202809.0;Avelinópolis;1992;2052;97.37;0.0;0.0
5203104.0;Baliza;1992;3833;181.88;0.0;0.0
5203203.0;Barro Alto;1992;8814;418.22;0.0;0.0
5203302.0;Bela Vista de Goiás;1992;13969;662.83;0.0;0.0
5203401.0;Bom Jardim de Goiás;1992;7292;346.01;0.0;0.0
5203500.0;Bom Jesus de Goiás;1992;12577;596.78;0.0;0.0
5203559.0;Bonfinópolis;1992;3088;146.53;0.0;0.0
5203575.0;Bonópolis;1992;0;0.0;0.0;0.0
5203609.0;Brazabrantes;1992;2110;100.12;0.0;0.0
5203807.0;Britânia;1992;4353;206.55;0.0;0.0
5203906.0;Buriti Alegre;1992;7708;365.74;0.0;0.0
5203939.0;Buriti de Goiás;1992;1824;86.55;0.0;0.0
5203962.0;Buritinópolis;1992;2845;135.0;0.0;0.0
5204003.0;Cabeceiras;1992;5898;279.86;0.0;0.0
5204102.0;Cachoeira Alta;1992;7634;362.23;0.0;0.0
5204201.0;Cachoeira de Goiás;1992;1313;62.3;0.0;0.0
5204250.0;Cachoeira Dourada;1992;7783;369.3;0.0;0.0
5204300.0;Caçu;1992;10157;481.95;0.0;0.0
5204409.0;Caiapônia;1992;12302;583.73;0.0;0.0
5204508.0;Caldas Novas;1992;22510;1068.1;0.0;0.0
5204557.0;Caldazinha;1992;1761;83.56;0.0;0.0
5204607.0;Campestre de Goiás;1992;2088;99.08;0.0;0.0
5204656.0;Campinaçu;1992;3975;188.61;0.0;0.0
5204706.0;Campinorte;1992;7485;355.16;0.0;0.0
5204805.0;Campo Alegre de Goiás;1992;4107;194.88;0.0;0.0
5204854.0;Campo Limpo de Goiás;1992;0;0.0;0.0;0.0
5204904.0;Campos Belos;1992;13785;654.1;0.0;0.0
5204953.0;Campos Verdes;1992;15564;738.51;0.0;0.0
5205000.0;Carmo do Rio Verde;1992;9580;454.57;0.0;0.0
5205059.0;Castelândia;1992;2899;137.56;0.0;0.0
5205109.0;Catalão;1992;50974;2418.72;0.0;0.0
5205208.0;Caturaí;1992;3754;178.13;0.0;0.0
5205307.0;Cavalcante;1992;7383;350.32;0.0;0.0
5205406.0;Ceres;1992;20669;980.74;0.0;0.0
5205455.0;Cezarina;1992;5326;252.72;0.0;0.0
5205471.0;Chapadão do Céu;1992;1546;73.36;0.0;0.0
5205497.0;Cidade Ocidental;1992;27720;1315.31;0.0;0.0
5205513.0;Cocalzinho de Goiás;1992;9349;443.61;0.0;0.0
5205521.0;Colinas do Sul;1992;3215;152.55;0.0;0.0
5205703.0;Córrego do Ouro;1992;2910;138.08;0.0;0.0
5205802.0;Corumbá de Goiás;1992;8396;398.39;0.0;0.0
5205901.0;Corumbaíba;1992;4872;231.18;0.0;0.0
5206206.0;Cristalina;1992;23301;1105.63;0.0;0.0
5206305.0;Cristianópolis;1992;2199;104.34;0.0;0.0
5206404.0;Crixás;1992;17617;835.93;0.0;0.0
5206503.0;Cromínia;1992;3068;145.58;0.0;0.0
5206602.0;Cumari;1992;2555;121.23;0.0;0.0
5206701.0;Damianópolis;1992;3318;157.44;0.0;0.0
5206800.0;Damolândia;1992;2374;112.65;0.0;0.0
5206909.0;Davinópolis;1992;1875;88.97;0.0;0.0
5207105.0;Diorama;1992;2328;110.46;0.0;0.0
5208301.0;Divinópolis de Goiás;1992;4586;217.61;0.0;0.0
5207253.0;Doverlândia;1992;9483;449.97;0.0;0.0
5207352.0;Edealina;1992;3738;177.37;0.0;0.0
5207402.0;Edéia;1992;8085;383.63;0.0;0.0
5207501.0;Estrela do Norte;1992;3095;146.86;0.0;0.0
5207535.0;Faina;1992;7113;337.51;0.0;0.0
5207600.0;Fazenda Nova;1992;6375;302.49;0.0;0.0
5207808.0;Firminópolis;1992;8781;416.66;0.0;0.0
5207907.0;Flores de Goiás;1992;4684;222.26;0.0;0.0
5208004.0;Formosa;1992;56258;2669.44;0.0;0.0
5208103.0;Formoso;1992;5456;258.89;0.0;0.0
5208152.0;Gameleira de Goiás;1992;0;0.0;0.0;0.0
5208400.0;Goianápolis;1992;6732;319.43;0.0;0.0
5208509.0;Goiandira;1992;4832;229.28;0.0;0.0
5208608.0;Goianésia;1992;40646;1928.65;0.0;0.0
5208707.0;Goiânia;1992;849409;40304.46;0.0;0.0
5208806.0;Goianira;1992;10162;482.19;0.0;0.0
5208905.0;Goiás;1992;25134;1192.61;0.0;0.0
5209101.0;Goiatuba;1992;29717;1410.07;0.0;0.0
5209150.0;Gouvelândia;1992;3635;172.48;0.0;0.0
5209200.0;Guapó;1992;10740;509.61;0.0;0.0
5209291.0;Guaraíta;1992;2468;117.11;0.0;0.0
5209408.0;Guarani de Goiás;1992;5200;246.74;0.0;0.0
5209457.0;Guarinos;1992;3388;160.76;0.0;0.0
5209606.0;Heitoraí;1992;2662;126.31;0.0;0.0
5209705.0;Hidrolândia;1992;9345;443.42;0.0;0.0
5209804.0;Hidrolina;1992;4508;213.9;0.0;0.0
5209903.0;Iaciara;1992;8893;421.97;0.0;0.0
5209937.0;Inaciolândia;1992;4533;215.09;0.0;0.0
5209952.0;Indiara;1992;9161;434.69;0.0;0.0
5210000.0;Inhumas;1992;35009;1661.18;0.0;0.0
5210109.0;Ipameri;1992;18787;891.44;0.0;0.0
5210158.0;Ipiranga de Goiás;1992;0;0.0;0.0;0.0
5210208.0;Iporá;1992;27160;1288.74;0.0;0.0
5210307.0;Israelândia;1992;2969;140.88;0.0;0.0
5210406.0;Itaberaí;1992;22250;1055.76;0.0;0.0
5210562.0;Itaguari;1992;3629;172.2;0.0;0.0
5210604.0;Itaguaru;1992;5708;270.84;0.0;0.0
5210802.0;Itajá;1992;5486;260.31;0.0;0.0
5210901.0;Itapaci;1992;11573;549.14;0.0;0.0
5211008.0;Itapirapuã;1992;8055;382.21;0.0;0.0
5211206.0;Itapuranga;1992;25775;1223.02;0.0;0.0
5211305.0;Itarumã;1992;5318;252.34;0.0;0.0
5211404.0;Itauçu;1992;7693;365.03;0.0;0.0
5211503.0;Itumbiara;1992;68220;3237.04;0.0;0.0
5211602.0;Ivolândia;1992;2668;126.6;0.0;0.0
5211701.0;Jandaia;1992;5824;276.35;0.0;0.0
5211800.0;Jaraguá;1992;25116;1191.75;0.0;0.0
5211909.0;Jataí;1992;57322;2719.93;0.0;0.0
5212006.0;Jaupaci;1992;2880;136.66;0.0;0.0
5212055.0;Jesúpolis;1992;1862;88.35;0.0;0.0
